Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:

Point (26.9037, -201.4906, 1864.2808) connects to:
    Branch Segment 2
    Branch Segment 5

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   25.6177  -201.2815  1865.2146     0.8683    -0.1898    -0.4583    -0.3823     0.3324    -0.8622     0.3160     0.9238     0.2161     6.7084     4.7979     9.3387     0.2054     6.5217     0.6984    21.4752    35.0139     0.6588
   25.7877  -201.3177  1865.1207     0.8525    -0.1768    -0.4918    -0.4187     0.3321    -0.8452     0.3127     0.9265     0.2091     6.8177     4.7776     9.7078     0.1930     6.6002     0.6799    21.8814    36.1052     0.6803
   25.9551  -201.3514  1865.0201     0.8367    -0.1629    -0.5228    -0.4256     0.4073    -0.8081     0.3446     0.8986     0.2714     6.9357     4.7443    10.1121     0.1852     6.6708     0.6597    22.3698    37.3063     0.6948
   26.1197  -201.3823  1864.9132     0.8196    -0.1482    -0.5535    -0.4735     0.3687    -0.7999     0.3226     0.9177     0.2320     7.0632     4.6367    10.4801     0.1982     6.7462     0.6437    22.9033    38.6275     0.7018
   26.2810  -201.4103  1864.8001     0.8019    -0.1330    -0.5824    -0.4744     0.4507    -0.7562     0.3631     0.8827     0.2984     7.1992     4.5293    10.8748     0.1751     6.8244     0.6275    23.4698    40.0417     0.7077
   26.4390  -201.4352  1864.6814     0.7840    -0.1168    -0.6097    -0.5094     0.4403    -0.7393     0.3548     0.8902     0.2857     7.3376     4.5061    11.3090     0.1919     6.9025     0.6104    24.0674    41.5312     0.7186
   26.5933  -201.4568  1864.5572     0.7649    -0.1001    -0.6363    -0.5274     0.4699    -0.7079     0.3698     0.8771     0.3066     7.4609     4.4451    11.7913     0.1771     6.9807     0.5920    24.5681    42.8754     0.7341
   26.7437  -201.4750  1864.4280     0.7455    -0.0824    -0.6614    -0.5417     0.5034    -0.6732     0.3884     0.8601     0.3307     7.3567     4.3926    12.2450     0.1882     6.6140     0.5401    26.5517    43.9036     0.7633
   26.9037  -201.4906  1864.2808     0.7221    -0.0603    -0.6891    -0.5594     0.5351    -0.6330     0.4069     0.8426     0.3527     7.4324     4.3584    12.7357        n/a     6.4444     0.5060    27.9524    45.0342     0.7816

[Main Branch Set] Branch Segment 2:

Point (26.9037, -201.4906, 1864.2808) connects from:
    Branch Segment 1
    Branch Segment 5
Point (41.6099, -213.5885, 1864.5518) connects to:
    Branch Segment 3
    Branch Segment 4

        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz       Dfit       Dmin       Dmax          C         Dh         Xh        Scf       Area          E
   26.9037  -201.4906  1864.2808     0.7049    -0.6266     0.3323    -0.7007    -0.5430     0.4628    -0.1096    -0.5591    -0.8219     7.4324     4.3584    12.7357        n/a     6.4444     0.5060    27.9524    45.0342     0.7816
   27.3124  -202.2184  1864.7218     0.3738    -0.7887     0.4880     0.9217     0.2571    -0.2905     0.1036     0.5584     0.8231     8.2113     5.4611    11.4842     0.3860     7.3683     0.6416    27.5198    50.6934     0.8251
   27.5300  -202.5431  1864.9145     0.6402    -0.6717     0.3727     0.7547     0.4597    -0.4680     0.1430     0.5810     0.8013     8.2713     5.7116    12.5753     0.5412     7.4159     0.5897    27.8275    51.5912     0.8299
   27.6224  -202.6363  1864.9653     0.6610    -0.6610     0.3552    -0.6624    -0.7364    -0.1375     0.3525    -0.1444    -0.9246     8.2131     5.4990    12.7091     0.0976     7.3384     0.5774    27.7254    50.8648     0.8305
   27.6954  -202.7098  1865.0045     0.6588    -0.6649     0.3520     0.4949     0.0306    -0.8684     0.5666     0.7463     0.3492     8.0691     5.2361    12.2960     0.0510     7.2206     0.5872    27.2768    49.2384     0.8261
