Legend
======
Order:       curve order
Px,Py,Pz:    coordinates of point P on the centerline
Tx,Ty,Tz:    coordinates of the direction of the Tangent vector to point P
Nx,Ny,Nz:    coordinates of the direction of the Normal vector to point P
BNx,BNy,BNz: coordinates of the direction of the Binormal vector to point P
Dfit:        diameter of the best fit circle in point P
Dmin:        diameter of the inscribing circle in point P
Dmax:        diameter of the subscribing circle in point P
C:           curvature in point P
Dh:          hydraulic diameter in point P
Xh:          hydraulic ratio in point P
Scf:         distance of circumference in point P
Area:        sectional area in point P
E:           ellipticity in point P


Order: Cubic

[Main Branch Set] Branch Segment 1:


        Px         Py         Pz         Tx         Ty         Tz         Nx         Ny         Nz        BNx        BNy        BNz
  -22.7371  -229.3486  1674.7479     0.2980     0.5411    -0.7864     0.8528     0.2193     0.4740     0.4289    -0.8119    -0.3961
  -22.4645  -228.8805  1674.0790     0.3331     0.5438    -0.7703     0.9427    -0.1749     0.2842     0.0198    -0.8208    -0.5709
  -22.1635  -228.4107  1673.4116     0.3575     0.5352    -0.7654     0.8612    -0.5059     0.0485    -0.3612    -0.6765    -0.6418
  -21.8452  -227.9513  1672.7471     0.3747     0.5227    -0.7657     0.7386    -0.6676    -0.0943    -0.5604    -0.5302    -0.6362
  -21.5176  -227.5076  1672.0897     0.3887     0.5121    -0.7659     0.8523    -0.5157     0.0877    -0.3501    -0.6869    -0.6369
  -21.1839  -227.0778  1671.4457     0.4033     0.5091    -0.7603     0.8451     0.1113     0.5228     0.3508    -0.8535    -0.3854
  -20.8429  -226.6534  1670.8216     0.4207     0.5180    -0.7447     0.5828     0.4748     0.6595     0.6952    -0.7115    -0.1021
  -20.4904  -226.2214  1670.2225     0.4411     0.5397    -0.7171     0.4400     0.5664     0.6969     0.7822    -0.6229     0.0124
  -20.1215  -225.7680  1669.6518     0.4617     0.5716    -0.6783     0.3267     0.6014     0.7291     0.8247    -0.5582     0.0909
  -19.7333  -225.2811  1669.1106     0.4782     0.6088    -0.6330     0.2152     0.6175     0.7565     0.8515    -0.4980     0.1642
  -19.3269  -224.7534  1668.5981     0.4874     0.6464    -0.5871     0.0865     0.6333     0.7691     0.8689    -0.4256     0.2527
  -18.9078  -224.1835  1668.1128     0.4881     0.6814    -0.5453    -0.0689     0.6529     0.7543     0.8701    -0.3306     0.3657
  -18.4849  -223.5753  1667.6532     0.4807     0.7131    -0.5103    -0.2518     0.6697     0.6986     0.8399    -0.2073     0.5015
  -18.0687  -222.9371  1667.2184     0.4674     0.7413    -0.4817    -0.3828     0.6609     0.6455     0.7969    -0.1173     0.5926
  -17.6678  -222.2788  1666.8088     0.4508     0.7666    -0.4573    -0.4698     0.6393     0.6088     0.7590    -0.0596     0.6483
  -17.2873  -221.6096  1666.4254     0.4344     0.7891    -0.4342    -0.4323     0.6056     0.6681     0.7902    -0.1026     0.6042
  -16.9266  -220.9359  1666.0694     0.4221     0.8086    -0.4099    -0.2981     0.5508     0.7796     0.8561    -0.2069     0.4735
  -16.5803  -220.2602  1665.7411     0.4165     0.8244    -0.3833    -0.0513     0.4423     0.8954     0.9077    -0.3533     0.2265
  -16.2395  -219.5816  1665.4393     0.4190     0.8357    -0.3551     0.2131     0.2897     0.9331     0.8827    -0.4666    -0.0567
  -15.8943  -218.8964  1665.1607     0.4275     0.8424    -0.3280     0.3722     0.1666     0.9131     0.8239    -0.5124    -0.2423
  -15.5376  -218.2004  1664.9003     0.4379     0.8458    -0.3048     0.4525     0.0856     0.8877     0.7768    -0.5266    -0.3452
  -15.1665  -217.4902  1664.6523     0.4461     0.8475    -0.2878     0.3910     0.1047     0.9144     0.8051    -0.5204    -0.2847
  -14.7837  -216.7649  1664.4112     0.4484     0.8497    -0.2774    -0.1290     0.3686     0.9206     0.8845    -0.3770     0.2749
  -14.3963  -216.0262  1664.1733     0.4435     0.8540    -0.2718    -0.7879     0.5161     0.3360     0.4272     0.0651     0.9018
  -14.0139  -215.2782  1663.9377     0.4321     0.8609    -0.2684    -0.8519     0.4874     0.1919     0.2960     0.1457     0.9440
  -13.6448  -214.5262  1663.7064     0.4168     0.8700    -0.2633    -0.8051     0.4878     0.3374     0.4220     0.0714     0.9038
  -13.2936  -213.7753  1663.4846     0.4024     0.8800    -0.2522    -0.5622     0.4550     0.6906     0.7225    -0.1361     0.6778
